,"name","value","year","lastValue","rank"
592,"Iran","289.8313626759785",2028,"283.56994512658576",18
593,"South Africa","240.19806636774632",2020,"240.19806636774632",18
594,"Iran","277.30852757719305",2026,"271.0471100278004",18
595,"Turkey","380.2962388171391",2044,"374.2201257414306",18
596,"Turkey","355.9917865143051",2040,"349.91567343859657",18
597,"Iran","271.0471100278004",2025,"264.78569247840767",18
598,"Turkey","392.4484649685561",2046,"386.3723518928476",18
599,"Turkey","331.68733421147107",2036,"325.6112211357626",18
600,"Turkey","374.2201257414306",2043,"368.1440126657221",18
601,"Iran","296.0927802253712",2029,"289.8313626759785",18
602,"Iran","264.78569247840767",2024,"258.5242749290149",18
603,"Turkey","362.0678995900136",2041,"355.9917865143051",18
604,"Iran","258.5242749290149",2023,"252.2628573796222",18
605,"Iran","302.3541977747639",2030,"296.0927802253712",18
606,"Turkey","368.1440126657221",2042,"362.0678995900136",18
607,"Australia","321.3005882591093",2034,"316.95000978137654",18
608,"Australia","316.95000978137654",2033,"312.5994313036437",18
609,"Turkey","386.3723518928476",2045,"380.2962388171391",18
610,"Turkey","337.7634472871796",2037,"331.68733421147107",18
611,"South Africa","240.19806636774632",2019,"207.0",18
612,"Australia","364.80637303643726",2044,"360.4557945587045",19
613,"Australia","338.7029021700405",2038,"334.3523236923077",19
614,"Turkey","264.8500903786776",2025,"258.77397730296906",19
615,"Australia","351.7546376032389",2041,"347.4040591255061",19
616,"Australia","334.3523236923077",2037,"330.0017452145749",19
617,"Turkey","270.92620345438604",2026,"264.8500903786776",19
618,"Australia","360.4557945587045",2043,"356.1052160809717",19
619,"Australia","382.2086869473685",2048,"377.8581084696356",19
620,"South Africa","243.49227405802972",2021,"240.19806636774632",19
621,"Australia","356.1052160809717",2042,"351.7546376032389",19
622,"Turkey","313.4589949843456",2033,"307.3828819086371",19
623,"Turkey","277.00231653009456",2027,"270.92620345438604",19
624,"Turkey","283.0784296058031",2028,"277.00231653009456",19
625,"Spain","245.0",2018,"245.0",19
626,"Turkey","307.3828819086371",2032,"301.3067688329286",19
627,"Australia","386.5592654251012",2049,"382.2086869473685",19
628,"Australia","227.0",2016,"0.0",19
629,"Turkey","319.5351080600541",2034,"313.4589949843456",19
630,"Turkey","295.23065575722006",2030,"289.15454268151154",19
631,"Turkey","252.6978642272605",2023,"246.621751151552",19
632,"Iran","239.7400222808368",2019,"255.0",19
633,"Australia","377.8581084696356",2047,"373.50752999190286",19
634,"Turkey","325.6112211357626",2035,"319.5351080600541",19
635,"Australia","231.0",2017,"227.0",19
636,"Iran","239.7400222808368",2020,"239.7400222808368",19
637,"Australia","373.50752999190286",2046,"369.15695151417",19
638,"South Africa","246.7864817483132",2022,"243.49227405802972",19
639,"Turkey","289.15454268151154",2029,"283.0784296058031",19
640,"Turkey","258.77397730296906",2024,"252.6978642272605",19
641,"Turkey","301.3067688329286",2031,"295.23065575722006",19
642,"Australia","343.0534806477733",2039,"338.7029021700405",19
643,"Australia","369.15695151417",2045,"364.80637303643726",19
644,"Australia","347.4040591255061",2040,"343.0534806477733",19
645,"Australia","330.0017452145749",2036,"325.65116673684213",19
646,"Indonesia","372.6697926423752",2049,"367.0185093290149",20
647,"Indonesia","304.8543928820513",2037,"299.203109568691",20
648,"Indonesia","299.203109568691",2036,"293.5518262553307",20
649,"South Africa","279.7285586511472",2032,"276.4343509608637",20
650,"Indonesia","293.5518262553307",2035,"287.90054294197034",20
651,"South Africa","283.0227663414305",2033,"279.7285586511472",20
652,"Indonesia","287.90054294197034",2034,"282.24925962861",20
653,"Australia","234.0",2018,"231.0",20
654,"Indonesia","310.50567619541164",2038,"304.8543928820513",20
655,"Indonesia","321.8082428221323",2040,"316.156959508772",20
656,"Turkey","234.469525000135",2020,"234.469525000135",20
657,"South Africa","253.37489712888",2024,"250.08068943859652",20
658,"South Africa","269.8459355802969",2029,"266.5517278900136",20
659,"Turkey","234.469525000135",2019,"258.0",20
660,"Indonesia","350.0646593889339",2045,"344.4133760755736",20
661,"South Africa","273.1401432705804",2030,"269.8459355802969",20
662,"South Africa","256.6691048191633",2025,"253.37489712888",20
663,"Indonesia","327.4595261354926",2041,"321.8082428221323",20
664,"Indonesia","344.4133760755736",2044,"338.7620927622133",20
665,"South Africa","259.9633125094468",2026,"256.6691048191633",20
666,"South Africa","266.5517278900136",2028,"263.2575201997301",20
667,"Indonesia","333.11080944885293",2042,"327.4595261354926",20
668,"Indonesia","338.7620927622133",2043,"333.11080944885293",20
669,"Indonesia","221.0",2017,"213.0",20
670,"South Africa","250.08068943859652",2023,"246.7864817483132",20
671,"Indonesia","355.7159427022942",2046,"350.0646593889339",20
672,"South Africa","263.2575201997301",2027,"259.9633125094468",20
673,"Turkey","240.54563807584356",2021,"234.469525000135",20
674,"Indonesia","213.0",2016,"0.0",20
675,"Indonesia","316.156959508772",2039,"310.50567619541164",20
676,"South Africa","276.4343509608637",2031,"273.1401432705804",20
677,"Indonesia","361.3672260156546",2047,"355.7159427022942",20
678,"Indonesia","367.0185093290149",2048,"361.3672260156546",20
679,"Turkey","246.621751151552",2022,"240.54563807584356",20
680,"South Africa","292.9053894122808",2036,"289.6111817219973",21
681,"South Africa","335.730089385965",2049,"332.4358816956816",21
