Timestamp;TH/s
4/5/2017;4359179.01
5/5/2017;3347226.74
6/5/2017;4359179.01
7/5/2017;4333231.516
8/5/2017;4670548.939
9/5/2017;4021861.587
10/5/2017;4119773.002
11/5/2017;3757901.049
12/5/2017;4286790.827
13/5/2017;4398136.043
14/5/2017;4565153.868
15/5/2017;4732171.692
16/5/2017;3674392.137
17/5/2017;4314627.131
18/5/2017;3952755.178
19/5/2017;4565153.868
20/5/2017;4592990.172
21/5/2017;4091936.698
22/5/2017;4064100.394
23/5/2017;4976737.782
24/5/2017;4562009.633
25/5/2017;4828620.586
26/5/2017;4532386.194
27/5/2017;4976737.782
28/5/2017;4887867.464
29/5/2017;4473139.316
30/5/2017;5302595.613
31/5/2017;4858244.025
1/6/2017;5035984.66
2/6/2017;4325022.12
3/6/2017;5687700.322
4/6/2017;5432357.042
5/6/2017;5533581.086
6/6/2017;5094943.561
7/6/2017;5567322.434
8/6/2017;5567322.434
9/6/2017;5094943.561
10/6/2017;4757530.08
11/6/2017;4926236.821
12/6/2017;4959978.169
13/6/2017;4757530.08
14/6/2017;4723788.732
15/6/2017;5162426.257
16/6/2017;4993719.517
17/6/2017;5129905.644
18/6/2017;5129905.644
19/6/2017;5342177.602
20/6/2017;4882255.027
21/6/2017;4953012.346
22/6/2017;4917633.687
23/6/2017;5660585.539
24/6/2017;5165284.304
25/6/2017;4316196.473
26/6/2017;5023769.665
27/6/2017;4634604.41
28/6/2017;5554449.56
29/6/2017;4245439.154
30/6/2017;5448313.581
1/7/2017;5802100.177
2/7/2017;6622798.791
3/7/2017;5988701.034
4/7/2017;5389830.931
5/7/2017;5248920.318
6/7/2017;5002326.746
7/7/2017;5213692.665
8/7/2017;5812562.768
9/7/2017;4861416.134
10/7/2017;6939847.669
11/7/2017;6094383.994
12/7/2017;6235294.606
13/7/2017;5530741.543
14/7/2017;5559049.844
15/7/2017;5079131.872
16/7/2017;6518885.788
17/7/2017;5918988.323
18/7/2017;6598872.117
19/7/2017;5958981.488
20/7/2017;6478892.624
21/7/2017;6158947.309
22/7/2017;6398906.295
23/7/2017;6878824.267
24/7/2017;7118783.254
25/7/2017;5918988.323
26/7/2017;5878995.159
27/7/2017;6585327.485
28/7/2017;6414280.018
29/7/2017;6713613.086
30/7/2017;6285994.418
31/7/2017;6200470.684
1/8/2017;6371518.151
2/8/2017;6499803.752
3/8/2017;5901137.617
4/8/2017;7654374.155
5/8/2017;7568850.421
6/8/2017;5986661.35
7/8/2017;6542565.619
8/8/2017;7012946.153
9/8/2017;6333394.737
10/8/2017;6149818.078
11/8/2017;6608759.726
12/8/2017;6195712.243
13/8/2017;6792336.385
14/8/2017;5966241.419
15/8/2017;6975913.044
16/8/2017;5966241.419
17/8/2017;8215055.493
18/8/2017;6838230.55
19/8/2017;6930018.879
20/8/2017;5966241.419
21/8/2017;5277828.948
22/8/2017;4084580.664
23/8/2017;7297172.197
24/8/2017;4459277.508
25/8/2017;4459277.508
26/8/2017;4635882.557
27/8/2017;6843445.68
28/8/2017;5695512.856
29/8/2017;6578538.105
30/8/2017;7417412.092
31/8/2017;7196655.78
1/9/2017;7682319.667
2/9/2017;7240807.042
3/9/2017;6799294.418
4/9/2017;7726470.929
5/9/2017;8697798.703
6/9/2017;7430760.766
7/9/2017;8072925.277
8/9/2017;8027056.383
9/9/2017;7751843.021
10/9/2017;6329907.319
11/9/2017;7981187.489
12/9/2017; 7981187.489
13/9/2017;8715089.787
14/9/2017;7981187.489
15/9/2017;8256400.851
16/9/2017;7751843.021
17/9/2017;8072925.277
18/9/2017;6965995.452
19/9/2017;8556655.83
20/9/2017;6417491.873
21/9/2017;9653662.988
22/9/2017;7624199.746
23/9/2017;9105159.409
24/9/2017;7953301.894
25/9/2017;6856294.736
26/9/2017;7569349.388
27/9/2017;8063002.609
28/9/2017;9708513.346
29/9/2017;9269710.483
30/9/2017;7569349.388
1/10/2017;7130546.525
2/10/2017;8380132.04
3/10/2017;10223761.09
4/10/2017;7486251.289
5/10/2017;6983443.366
6/10/2017;8882939.962
7/10/2017;8827072.415
8/10/2017;10167893.54
9/10/2017;8994675.056
10/10/2017;8938807.509
11/10/2017;7765589.023
12/10/2017;8547734.68
13/10/2017;7597986.383
14/10/2017;7877324.117
15/10/2017;11601113.07
16/10/2017;10351762.43
17/10/2017;9756833.552
18/10/2017;8983426.015
19/10/2017;10589733.98
20/10/2017;10649226.87
21/10/2017;9102411.79
22/10/2017;10827705.53
23/10/2017;10173283.76
24/10/2017;9935312.215
25/10/2017;11006184.19
26/10/2017;12999790.29
27/10/2017;7510989.944
28/10/2017;6138789.858
29/10/2017;11122042.8
30/10/2017;10616495.4
31/10/2017;9966505.887
1/11/2017;7872095.229
2/11/2017;10833158.57
3/11/2017;8594305.801
4/11/2017;9388737.429
5/11/2017;10183169.06
6/11/2017;9605400.601
7/11/2017;11266484.92
8/11/2017;10399832.23
9/11/2017;11049821.74
10/11/2017;8139094.745
11/11/2017;5426063.163
12/11/2017;5426063.163
13/11/2017;9495610.536
14/11/2017;8681701.061
15/11/2017;10309520.01
16/11/2017;10309520.01
17/11/2017;11326906.85
18/11/2017;9224307.378
19/11/2017;10852126.33
20/11/2017;11869513.17
21/11/2017;11733861.59
22/11/2017;8342572.114
23/11/2017;10648648.96
24/11/2017;9977010.841
25/11/2017;10445729.47
26/11/2017;10244850.06
27/11/2017;11383166.73
28/11/2017;10445729.47
29/11/2017;11584046.14
30/11/2017;11182287.32
1/12/2017;12253644.19
2/12/2017;10780528.49
3/12/2017;11784925.56
4/12/2017;12119724.58
5/12/2017;11918845.17
6/12/2017;14867776.06
7/12/2017;11941671.2
8/12/2017;12337090.77
9/12/2017;13760601.25
10/12/2017;12969762.09
11/12/2017;13523349.5
12/12/2017;12337090.77
13/12/2017;14709608.23
14/12/2017;14630524.31
