id,name,value,year,lastValue,rank
1016,Croatia,20.893998724966263,2019,17.0,73
1017,Bulgaria,26.23863919298245,2029,26.459421354925773,73
1018,Ecuador,23.183645380566805,2022,22.61675470850203,73
1019,Ecuador,22.049864036437253,2020,22.049864036437253,73
1020,Ecuador,23.750536052631585,2023,23.183645380566805,73
1021,Ecuador,24.884317396761137,2025,24.31742672469636,73
1022,Croatia,23.06381693387315,2024,22.52136238164643,74
1023,Croatia,21.978907829419708,2022,21.43645327719299,74
1024,Croatia,23.60627148609987,2025,23.06381693387315,74
1025,Lebanon,18.0,2018,18.0,74
1026,Jordan,18.0,2017,17.0,74
1027,Croatia,24.691180590553312,2027,24.14872603832659,74
1028,Croatia,21.43645327719299,2021,20.893998724966263,74
1029,Jordan,17.0,2016,0.0,74
1030,Croatia,25.233635142780034,2028,24.691180590553312,74
1031,Puerto Rico,20.78241855068961,2019,15.0,74
1032,Croatia,25.776089695006757,2029,25.233635142780034,74
1033,Croatia,22.52136238164643,2023,21.978907829419708,74
1034,Croatia,20.893998724966263,2020,20.893998724966263,74
1035,Croatia,24.14872603832659,2026,23.60627148609987,74
1036,Cuba,16.0,2016,0.0,75
1037,Puerto Rico,21.631970141248317,2024,21.41958224360864,75
1038,Tajikistan,22.861176815114717,2029,22.416838904183543,75
1039,Croatia,17.0,2017,16.0,75
1040,Puerto Rico,21.41958224360864,2023,21.20719434596896,75
1041,Puerto Rico,22.481521731807018,2028,22.26913383416734,75
1042,Puerto Rico,21.20719434596896,2022,20.994806448329285,75
1043,Puerto Rico,21.84435803888799,2025,21.631970141248317,75
1044,Puerto Rico,20.994806448329285,2021,20.78241855068961,75
1045,Puerto Rico,20.78241855068961,2020,20.78241855068961,75
1046,BTC,20.179541311792768,2019,11.056967156887392,75
1047,Puerto Rico,22.26913383416734,2027,22.056745936527665,75
1048,Jordan,17.0,2018,18.0,75
1049,Puerto Rico,22.056745936527665,2026,21.84435803888799,75
1050,Tajikistan,20.19514934952767,2023,19.750811438596497,76
1051,Tajikistan,18.862135616734147,2020,18.862135616734147,76
1052,Iceland,22.7451367165992,2029,22.27760075425102,76
1053,Tajikistan,20.639487260458843,2024,20.19514934952767,76
1054,Tajikistan,18.862135616734147,2019,14.0,76
1055,Tajikistan,21.528163082321196,2026,21.083825171390018,76
1056,Tajikistan,22.416838904183543,2028,21.972500993252368,76
1057,Croatia,17.0,2018,17.0,76
1058,Tajikistan,21.972500993252368,2027,21.528163082321196,76
1059,Burma,17.0,2017,13.0,76
1060,Tajikistan,21.083825171390018,2025,20.639487260458843,76
1061,Tajikistan,19.750811438596497,2022,19.30647352766532,76
1062,Croatia,16.0,2016,0.0,76
1063,Tajikistan,19.30647352766532,2021,18.862135616734147,76
1064,Iceland,19.47238498016195,2022,19.00484901781377,77
1065,Iceland,20.407456904858307,2024,19.939920942510128,77
1066,Dominican Republic,16.0,2017,15.0,77
1067,Iceland,19.00484901781377,2021,18.537313055465592,77
1068,Iceland,19.939920942510128,2023,19.47238498016195,77
1069,Lebanon,16.0,2016,0.0,77
1070,Dominican Republic,16.0,2018,16.0,77
1071,Iceland,22.27760075425102,2028,21.810064791902843,77
1072,Puerto Rico,22.693909629446694,2029,22.481521731807018,77
1073,Iceland,21.810064791902843,2027,21.342528829554663,77
1074,Iceland,18.537313055465592,2020,18.537313055465592,77
1075,Iceland,18.537313055465592,2019,19.0,77
1076,Iceland,21.342528829554663,2026,20.874992867206483,77
1077,Iceland,20.874992867206483,2025,20.407456904858307,77
1078,Lebanon,18.23793049932524,2021,17.788509264507425,78
1079,Lebanon,21.83330037786775,2029,21.38387914304994,78
1080,Lebanon,21.38387914304994,2028,20.93445790823212,78
1081,Lebanon,20.48503667341431,2026,20.03561543859649,78
1082,Lebanon,19.58619420377868,2024,19.136772968960862,78
1083,Lebanon,17.788509264507425,2019,18.0,78
1084,Tunisia,15.0,2016,0.0,78
1085,Lebanon,19.136772968960862,2023,18.687351734143054,78
1086,Lebanon,18.687351734143054,2022,18.23793049932524,78
1087,Lebanon,20.03561543859649,2025,19.58619420377868,78
1088,Lebanon,20.93445790823212,2027,20.48503667341431,78
1089,Tunisia,16.0,2017,15.0,78
1090,Lebanon,17.788509264507425,2020,17.788509264507425,78
1091,Cuba,16.0,2018,16.0,78
1092,Turkmenistan,15.0,2016,0.0,79
1093,Slovenia,19.099144999136303,2023,18.647234592334684,79
1094,Slovenia,19.551055405937923,2024,19.099144999136303,79
1095,Slovenia,20.454876219541163,2026,20.002965812739543,79
1096,Slovenia,21.3586970331444,2028,20.906786626342782,79
1097,Slovenia,20.002965812739543,2025,19.551055405937923,79
1098,Cuba,16.0,2017,16.0,79
1099,Tunisia,16.0,2018,16.0,79
1100,Slovenia,20.906786626342782,2027,20.454876219541163,79
1101,Slovenia,18.195324185533064,2021,17.743413778731444,79
1102,Slovenia,18.647234592334684,2022,18.195324185533064,79
