,country,value,year,rank
395,Norway,132.6610572705803,2024,31
396,Norway,123.0,2017,31
397,Norway,129.3597616288799,2021,31
398,Netherlands,136.8153262237517,2027,31
399,Romania,55.0077777,2019,31
400,Norway,128.25932974831312,2020,31
401,Netherlands,135.1541809840756,2026,31
402,Argentina,125.0,2018,31
403,Netherlands,128.50960002537113,2022,32
404,Norway,135.96235291228072,2027,32
405,Greece,53.63537,2019,32
406,Netherlands,133.4930357443995,2025,32
407,Netherlands,125.18730954601892,2020,32
408,Pakistan,121.0,2018,32
409,Netherlands,131.83189050472336,2024,32
410,Norway,137.0627847928475,2028,32
411,United Arab Emirates,118.0,2017,32
412,Norway,134.8619210317139,2026,32
413,Netherlands,130.17074526504723,2023,32
414,Netherlands,126.84845478569504,2021,32
415,United Arab Emirates,139.03725074224025,2029,32
416,United Arab Emirates,117.13868755195683,2022,33
417,United Arab Emirates,120.26705372199731,2023,33
418,United Arab Emirates,132.78051840215926,2027,33
419,Norway,138.16321667341433,2029,33
420,United Arab Emirates,123.3954198920378,2024,33
421,United Arab Emirates,119.0,2018,33
422,Netherlands,110.0,2017,33
423,United Arab Emirates,114.01032138191636,2021,33
424,United Arab Emirates,110.88195521187586,2020,33
425,Portugal,48.035112,2019,33
426,United Arab Emirates,135.90888457219975,2028,33
427,United Arab Emirates,129.65215223211877,2026,33
428,United Arab Emirates,126.5237860620783,2025,33
429,Pakistan,106.0,2017,34
430,Pakistan,109.75861431470987,2023,34
431,Singapore,47.58252,2019,34
432,Netherlands,112.0,2018,34
433,Pakistan,121.79213461531718,2028,34
434,Pakistan,107.35191025458845,2022,34
435,Pakistan,114.5720224349528,2025,34
436,Pakistan,119.38543055519573,2027,34
437,Pakistan,112.16531837483134,2024,34
438,Pakistan,102.5385021343455,2020,34
439,Pakistan,124.19883867543864,2029,34
440,Pakistan,104.94520619446696,2021,34
441,Pakistan,116.97872649507426,2026,34
442,Kazakhstan,117.39723411066127,2027,35
443,Kazakhstan,99.39747757017544,2020,35
444,Hungary,41.620749,2019,35
445,Kazakhstan,92.0,2018,35
446,Kazakhstan,104.54026515317142,2022,35
447,Kazakhstan,114.82584031916332,2026,35
448,Kazakhstan,101.96887136167344,2021,35
449,Kazakhstan,122.54002169365724,2029,35
450,Kazakhstan,119.96862790215928,2028,35
451,Kazakhstan,87.0,2017,35
452,Kazakhstan,112.25444652766534,2025,35
453,Kazakhstan,107.1116589446694,2023,35
454,Kazakhstan,109.68305273616735,2024,35
455,Finland,103.38708456815112,2026,36
456,Finland,95.7835487381916,2020,36
457,Finland,107.18885248313089,2029,36
458,Philippines,86.0,2018,36
459,New Zealand,41.165451,2019,36
460,Finland,100.85257262483128,2024,36
461,Finland,83.0,2017,36
462,Finland,104.65434053981105,2027,36
463,Finland,99.58531665317136,2023,36
464,Finland,97.05080470985152,2021,36
465,Finland,98.31806068151144,2022,36
466,Finland,105.92159651147097,2028,36
467,Finland,102.1198285964912,2025,36
468,Belgium,95.91623125236164,2021,37
469,Belgium,105.18794406207826,2029,37
470,Belgium,101.71105175843454,2026,37
471,Belgium,102.87001585964911,2027,37
472,Belgium,99.39312355600538,2024,37
473,Belgium,100.55208765721996,2025,37
474,Belgium,98.2341594547908,2023,37
475,Finland,85.0,2018,37
476,Belgium,104.0289799608637,2028,37
477,Belgium,97.07519535357623,2022,37
478,Belgium,94.75726715114708,2020,37
479,Belgium,83.0,2017,37
480,Bulgaria,33.1343173,2019,37
481,Venezuela,100.64604693252365,2028,38
482,Venezuela,92.34833743454794,2022,38
483,Czech Republic,102.4088960748988,2029,38
484,Venezuela,99.2630953495277,2027,38
485,Venezuela,95.11424060053984,2024,38
486,Belarus,32.736415,2019,38
487,Philippines,82.0,2017,38
488,Venezuela,89.58243426855603,2020,38
489,Venezuela,97.88014376653176,2026,38
490,Venezuela,93.73128901754389,2023,38
491,Venezuela,96.4971921835358,2025,38
492,Belgium,83.0,2018,38
493,Venezuela,90.965385851552,2021,38
494,Czech Republic,100.28068856214576,2028,39
495,Chile,72.0,2017,39
496,Czech Republic,85.3832359728745,2021,39
497,Czech Republic,91.7678585111336,2024,39
498,Denmark,32.703064,2019,39
499,Chile,76.0,2018,39
500,Venezuela,102.0289985155196,2029,39
501,Czech Republic,96.02427353663968,2026,39
502,Czech Republic,89.63965099838057,2023,39
503,Czech Republic,83.25502846012147,2020,39
504,Czech Republic,87.51144348562754,2022,39
505,Czech Republic,93.89606602388665,2025,39
506,Czech Republic,98.15248104939272,2027,39
507,Colombia,72.0,2017,40
508,Chile,81.1524119265857,2023,40
509,Chile,88.54931116221323,2027,40
510,Philippines,77.57162582156548,2021,40
511,Chile,86.70008635330635,2026,40
512,Chile,90.39853597112013,2028,40
513,Chile,92.247760780027,2029,40
514,Philippines,75.80830117326587,2020,40
515,Chile,83.00163673549258,2024,40
516,Ireland,27.202795,2019,40
517,Bangladesh,71.0,2018,40
518,Chile,84.85086154439946,2025,40
519,Philippines,79.33495046986506,2022,40
520,Philippines,82.86159976646425,2024,41
521,Colombia,70.0,2018,41
522,Philippines,88.15157371136304,2027,41
523,Chile,75.60473749986505,2020,41
524,Philippines,81.09827511816466,2023,41
525,Chile,79.30318711767882,2022,41
526,Philippines,84.62492441476385,2025,41
527,Venezuela,66.0,2017,41
528,Chile,77.45396230877193,2021,41
529,Slovakia,26.236542,2019,41
530,Philippines,91.67822300796225,2029,41
531,Philippines,86.38824906306345,2026,41
532,Philippines,89.91489835966264,2028,41
533,Austria,76.03377688232118,2025,42
534,Austria,77.90222872928474,2027,42
535,Iceland,18.679313,2019,42
536,Austria,79.77068057624831,2029,42
537,Austria,78.83645465276652,2028,42
538,Austria,75.0995509588394,2024,42
539,Austria,76.96800280580297,2026,42
540,Austria,73.23109911187584,2022,42
541,Austria,72.29687318839404,2021,42
542,Austria,66.0,2017,42
543,Austria,71.36264726491228,2020,42
544,Austria,66.0,2018,42
545,Austria,74.16532503535763,2023,42
546,Greece,72.330158974359,2026,43
547,Greece,67.8145466666667,2022,43
548,Greece,66.68564358974362,2021,43
549,Venezuela,65.0,2018,43
550,Greece,65.55674051282054,2020,43
551,Greece,71.20125589743591,2025,43
552,Greece,68.94344974358977,2023,43
553,Greece,75.71686820512824,2029,43
554,Croatia,17.4749266,2019,43
555,Greece,70.07235282051285,2024,43
556,Bangladesh,66.0,2017,43
557,Greece,73.45906205128207,2027,43
558,Greece,74.58796512820516,2028,43
559,Colombia,73.16037773009448,2027,44
560,Colombia,66.92110785155197,2022,44
561,Czech Republic,64.0,2018,44
562,Colombia,71.91252375438597,2026,44
563,Colombia,69.41681580296897,2024,44
564,Colombia,74.40823170580298,2028,44
565,Switzerland,64.49357321909582,2020,44
566,Tajikistan,16.0853177,2019,44
567,Colombia,70.66466977867748,2025,44
568,Colombia,75.65608568151148,2029,44
569,Colombia,68.16896182726047,2023,44
570,Colombia,65.67325387584347,2021,44
571,Czech Republic,64.0,2017,44
572,Switzerland,66.46176726504724,2023,45
573,Colombia,64.42539990013496,2020,45
574,Algeria,60.0,2017,45
575,Algeria,62.0,2018,45
576,Switzerland,65.14963790107963,2021,45
577,Israel,70.91650433846154,2027,45
578,Israel,73.60535811538462,2029,45
579,Israel,69.57207745000001,2026,45
580,Israel,68.22765056153847,2025,45
581,Slovenia,14.023035,2019,45
582,Israel,72.26093122692308,2028,45
583,Switzerland,65.80570258306344,2022,45
584,Switzerland,67.11783194703105,2024,45
585,Israel,64.19436989615384,2022,46
586,Kuwait,70.93878303643726,2029,46
587,Israel,66.88322367307693,2024,46
588,Switzerland,67.77389662901486,2025,46
589,Switzerland,69.08602599298247,2027,46
590,Israel,62.84994300769231,2021,46
591,Kuwait,59.0,2018,46
592,Kuwait,59.0,2017,46
593,Israel,65.53879678461539,2023,46
594,Georgia,12.1789608,2019,46
595,Israel,61.50551611923077,2020,46
596,Switzerland,68.42996131099866,2026,46
597,Switzerland,69.74209067496628,2028,46
598,Kuwait,62.67820027530366,2023,47
599,Switzerland,70.39815535695007,2029,47
600,Kuwait,68.18525544939273,2027,47
601,Kuwait,65.4317278623482,2025,47
602,Kuwait,58.54790889473686,2020,47
603,Switzerland,59.0,2017,47
604,Kuwait,59.92467268825913,2021,47
605,Kuwait,66.80849165587045,2026,47
606,Kuwait,64.05496406882592,2024,47
607,Lithuania,11.306302,2019,47
608,Kuwait,69.562019242915,2028,47
609,Kuwait,61.301436481781394,2022,47
610,Switzerland,58.0,2018,47
611,Uzbekistan,68.21497206936573,2028,48
612,Uzbekistan,64.06402702240217,2025,48
613,Uzbekistan,59.91308197543861,2022,48
614,Uzbekistan,62.68037867341432,2024,48
615,Bolivia,9.0573537,2019,48
616,Greece,58.0,2017,48
617,Israel,56.0,2018,48
618,Uzbekistan,61.29673032442646,2023,48
619,Uzbekistan,66.83132372037788,2027,48
620,Uzbekistan,65.44767537139003,2026,48
621,Uzbekistan,69.59862041835359,2029,48
622,Uzbekistan,57.1457852774629,2020,48
623,Uzbekistan,58.52943362645075,2021,48
624,Portugal,56.66359768016195,2020,49
625,Portugal,58.76509482186236,2022,49
626,Bangladesh,66.85051420445345,2029,49
627,Portugal,61.917340534412965,2025,49
628,Estonia,8.857956,2019,49
629,Portugal,57.71434625101215,2021,49
630,Portugal,62.96808910526317,2026,49
631,Portugal,59.81584339271256,2023,49
632,Romania,52.0,2018,49
633,Bangladesh,65.29134400789474,2028,49
634,Portugal,64.01883767611338,2027,49
635,Israel,55.0,2017,49
636,Portugal,60.86659196356276,2024,49
637,Bangladesh,54.377152631983805,2021,50
638,Bangladesh,63.732173811336025,2027,50
639,Bangladesh,55.93632282854252,2022,50
640,Greece,51.0,2018,50
641,Bangladesh,57.49549302510121,2023,50
642,Bangladesh,59.05466322165992,2024,50
643,Bangladesh,60.61383341821862,2025,50
644,North Macedonia,7.023724,2019,50
645,Portugal,66.12033481781377,2029,50
646,Singapore,53.08927281025643,2020,50
647,Portugal,65.06958624696358,2028,50
648,Romania,51.0,2017,50
649,Bangladesh,62.17300361477733,2026,50
650,Singapore,56.855552471794894,2023,51
651,Latvia,6.876723,2019,51
652,Bangladesh,52.8179824354251,2020,51
653,Singapore,49.0,2017,51
654,Singapore,49.0,2018,51
655,Singapore,55.60012591794874,2022,51
